frame_id time_stamp sensor_id z x y vz vx vy 
1 0.000000 1 21.752131 -0.088412 0.000000 0.316632 -0.043430 0.000000 
1 0.000000 1 23.154600 -6.413195 0.000000 -0.478328 0.249625 0.000000 
1 0.000000 2 21.389222 -0.202036 -0.000000 4.416738 1.038660 0.000000 
1 0.000000 2 23.443280 -6.461837 0.000000 1.330090 0.789365 -0.000000 
2 0.010000 1 21.646333 -0.096295 0.000000 0.092957 -0.155698 0.000000 
2 0.010000 1 23.041676 -6.373226 0.000000 -0.032216 0.072051 0.000000 
2 0.010000 2 20.790186 -0.168976 0.000000 2.002832 -0.832244 0.000000 
2 0.010000 2 24.482236 -6.924872 0.000000 -3.550299 0.657723 0.000000 
3 0.020000 1 21.642063 -0.100769 0.000000 -0.408825 0.233735 -0.000000 
3 0.020000 1 23.100370 -6.409524 -0.000000 0.286877 -0.021479 0.000000 
3 0.020000 2 21.655278 -0.185345 0.000000 -1.553627 0.192561 0.000000 
3 0.020000 2 22.433335 -6.205454 -0.000000 -3.778540 0.346543 0.000000 
4 0.030000 1 21.654482 -0.086063 0.000000 -0.051271 0.246470 0.000000 
4 0.030000 1 23.218908 -6.418587 0.000000 -0.169338 0.040252 -0.000000 
4 0.030000 2 21.613500 -0.063471 -0.000000 -1.856570 0.884275 0.000000 
4 0.030000 2 22.867302 -6.296593 0.000000 -0.213975 0.448658 0.000000 
5 0.040000 1 21.724286 -0.070536 -0.000000 -0.098996 0.147251 -0.000000 
5 0.040000 1 23.200247 -6.430896 -0.000000 0.350014 -0.034023 0.000000 
5 0.040000 2 21.139399 -0.036075 -0.000000 0.802147 1.510662 0.000000 
5 0.040000 2 22.658296 -6.153713 -0.000000 -0.052295 -1.075084 -0.000000 
5 0.040000 2 59.927323 -20.851382 -0.000000 -24.217561 47.391258 0.000000 
6 0.050000 1 21.685582 -0.071227 0.000000 0.684603 0.178125 0.000000 
6 0.050000 1 22.980711 -6.355902 0.000000 -0.467155 0.113011 0.000000 
6 0.050000 2 21.711158 -0.230491 -0.000000 -1.036339 1.463519 -0.000000 
6 0.050000 2 22.873777 -6.336686 0.000000 6.470707 -2.379769 0.000000 
6 0.050000 2 55.784581 -13.441938 -0.000000 -8.574156 -11.747387 0.000000 
7 0.060000 1 21.676596 -0.092556 -0.000000 0.651955 0.117896 -0.000000 
7 0.060000 1 23.152124 -6.394912 -0.000000 -0.196739 0.113078 0.000000 
7 0.060000 2 21.459140 -0.061205 0.000000 1.187788 -0.617738 0.000000 
7 0.060000 2 22.630992 -6.167449 0.000000 3.855005 -0.084950 0.000000 
8 0.070000 1 21.665960 -0.071579 0.000000 0.249728 0.139438 0.000000 
8 0.070000 1 23.119507 -6.393050 -0.000000 -0.447793 0.125005 0.000000 
