time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.2325	1.38481	5.33658	0.2401	0.202761	radar	2.53093	10.5377	1.72555	10.1116	1.37011	5.11551	0.238478
1477010444900000	10.441	1.45861	5.27265	0.258476	0.213662	lidar	2.05976	10.2492	1.45907	10.3598	1.4321	5.11137	0.251116
1477010444950000	10.7053	1.54346	5.28981	0.276164	0.222041	radar	0.815259	10.9084	1.70343	10.6069	1.49721	5.10717	0.26406
1477010445000000	10.9169	1.56673	5.22161	0.267156	0.198457	lidar	2.71108	10.7313	1.45265	10.853	1.56549	5.10289	0.277309
1477010445050000	11.1873	1.61317	5.24038	0.263868	0.181743	radar	1.42979	11.4783	1.42876	11.0979	1.637	5.09855	0.290859
1477010445100000	11.4717	1.65517	5.27461	0.256659	0.160987	lidar	0.878051	11.587	1.61462	11.3416	1.71179	5.09414	0.304708
1477010445150000	11.7139	1.70759	5.25375	0.2587	0.153802	radar	1.00963	11.4763	1.53917	11.584	1.78992	5.08968	0.318855
1477010445200000	11.9296	1.77176	5.20344	0.268688	0.157384	lidar	1.29729	11.7788	1.74591	11.8251	1.87144	5.08516	0.333298
1477010445250000	12.1742	1.87172	5.20586	0.291362	0.175971	radar	0.967947	12.136	2.14937	12.0648	1.95639	5.08058	0.348033
1477010445300000	12.4077	1.897	5.16926	0.27826	0.148968	lidar	1.20571	12.3226	1.78353	12.3029	2.04482	5.07596	0.363059
1477010445350000	12.6516	1.95185	5.15814	0.278198	0.139609	radar	0.501784	12.5457	1.77728	12.5394	2.13677	5.07128	0.378373
1477010445400000	12.8311	2.08315	5.09075	0.321595	0.186225	lidar	3.87014	12.5924	2.17509	12.7743	2.23227	5.06656	0.393973
1477010445450000	13.0746	2.20977	5.11119	0.35187	0.212565	radar	2.76817	13.2198	2.66441	13.0075	2.33136	5.0618	0.409856
1477010445500000	13.2631	2.34194	5.0623	0.389549	0.247368	lidar	2.07857	13.0875	2.40708	13.2388	2.43409	5.057	0.42602
1477010445550000	13.4431	2.51211	5.02323	0.443956	0.301331	radar	11.0981	12.7087	3.12439	13.4682	2.54047	5.05217	0.442462
1477010445600000	13.7035	2.61571	5.06519	0.450824	0.290184	lidar	0.986135	13.836	2.62479	13.6955	2.65053	5.0473	0.45918
1477010445650000	13.9243	2.72992	5.05857	0.467465	0.293025	radar	0.10826	13.8302	2.73893	13.9208	2.7643	5.0424	0.476172
1477010445700000	14.1575	2.87265	5.08306	0.493185	0.306464	lidar	0.443824	14.2105	2.94205	14.1439	2.88179	5.03748	0.493433
1477010445750000	14.3924	2.98072	5.09138	0.499786	0.295202	radar	0.476325	14.5568	2.87021	14.3646	3.00303	5.03253	0.510962
1477010445800000	14.5913	3.05114	5.03349	0.49498	0.271874	lidar	2.13952	14.4616	2.90734	14.583	3.12802	5.02756	0.528756
1477010445850000	14.7906	3.24394	5.04859	0.545737	0.318614	radar	6.45109	14.6754	3.96041	14.7989	3.25679	5.02257	0.546813
1477010445900000	15.0026	3.41498	5.06875	0.579499	0.340602	lidar	0.553058	15.0261	3.5067	15.0122	3.38932	5.01757	0.565128
1477010445950000	15.2122	3.60407	5.09798	0.618527	0.367684	radar	3.85363	15.3685	4.14761	15.2228	3.52563	5.01256	0.583699
1477010446000000	15.4375	3.77016	5.13197	0.639617	0.370186	lidar	0.602665	15.5236	3.82936	15.4306	3.66572	5.00754	0.602525
1477010446050000	15.6566	3.87946	5.118	0.634618	0.340859	radar	2.74609	15.7234	3.4105	15.6356	3.80957	5.00251	0.6216
1477010446100000	15.8898	4.01616	5.13968	0.637214	0.322102	lidar	0.475139	15.9774	4.00094	15.8375	3.95718	4.99749	0.640923
1477010446150000	16.1095	4.16939	5.15552	0.648955	0.316158	radar	0.660775	16.3376	4.21632	16.0363	4.10854	4.99246	0.66049
1477010446200000	16.31	4.35997	5.17694	0.6796	0.334269	lidar	0.464698	16.3313	4.44499	16.2319	4.26363	4.98744	0.680299
1477010446250000	16.527	4.51537	5.18947	0.687897	0.323318	radar	0.664813	16.7586	4.48231	16.4242	4.42242	4.98243	0.700345
1477010446300000	16.697	4.68717	5.16227	0.714495	0.33709	lidar	0.5088	16.6039	4.67344	16.613	4.5849	4.97743	0.720627
1477010446350000	16.887	4.8767	5.17391	0.739893	0.347573	radar	0.684251	16.9236	5.10119	16.7983	4.75103	4.97244	0.74114
1477010446400000	17.0457	5.10281	5.18328	0.78609	0.383586	lidar	0.942684	16.9955	5.21099	16.9799	4.92077	4.96747	0.761882
1477010446450000	17.2486	5.23374	5.15935	0.777702	0.349333	radar	4.34207	17.3421	4.64623	17.1578	5.09409	4.96252	0.782849
1477010446500000	17.3938	5.43107	5.13458	0.812328	0.371573	lidar	0.658324	17.2894	5.43542	17.3319	5.27094	4.9576	0.804038
1477010446550000	17.5928	5.5488	5.09574	0.796864	0.329498	radar	7.87635	17.6463	4.74597	17.5019	5.45128	4.9527	0.825446
1477010446600000	17.7806	5.70189	5.07945	0.798471	0.311182	lidar	0.371558	17.7853	5.62476	17.6679	5.63506	4.94783	0.847069
1477010446650000	17.9493	5.89973	5.08614	0.821689	0.320691	radar	0.426374	17.9216	6.07151	17.8297	5.82221	4.943	0.868904
1477010446700000	18.1165	6.10878	5.10263	0.846954	0.331948	lidar	0.227234	18.1263	6.16985	17.9872	6.01269	4.9382	0.890947
1477010446750000	18.261	6.34111	5.11921	0.885536	0.359397	radar	2.72535	18.1245	6.79027	18.1403	6.20641	4.93344	0.913195
1477010446800000	18.3589	6.58611	5.10559	0.941078	0.407104	lidar	1.69985	18.2164	6.66138	18.2888	6.40332	4.92872	0.935644
1477010446850000	18.4938	6.81236	5.112	0.972512	0.420952	radar	0.70075	18.4022	7.02231	18.4328	6.60333	4.92404	0.958291
1477010446900000	18.6281	6.96365	5.04286	0.976173	0.400954	lidar	2.74846	18.5422	6.76013	18.572	6.80638	4.91942	0.981133
1477010446950000	18.7686	7.17748	5.048	0.996854	0.401585	radar	0.105495	18.8089	7.24388	18.7064	7.01237	4.91484	1.00416
1477010447000000	18.9833	7.32314	5.04362	0.965078	0.336322	lidar	3.0064	19.1441	7.18344	18.8359	7.22122	4.91032	1.02738
1477010447050000	19.0818	7.5341	5.01032	0.999644	0.359657	radar	3.70699	18.5479	7.4012	18.9604	7.43283	4.90586	1.05079
1477010447100000	19.1508	7.78885	5.00561	1.05604	0.408167	lidar	1.66362	19.0138	7.8688	19.0798	7.64712	4.90145	1.07437
1477010447150000	19.2812	7.98407	4.98647	1.06564	0.394986	radar	1.2211	19.3089	7.67375	19.1939	7.86397	4.89711	1.09813
1477010447200000	19.3281	8.20213	4.93129	1.11444	0.433024	lidar	2.57457	19.132	8.12845	19.3028	8.08329	4.89283	1.12206
1477010447250000	19.4052	8.41549	4.89964	1.14585	0.446224	radar	2.47258	19.0239	8.17194	19.4062	8.30497	4.88862	1.14615
1477010447300000	19.4779	8.57209	4.80326	1.16138	0.440611	lidar	4.81527	19.347	8.30741	19.5042	8.5289	4.88449	1.17042
1477010447350000	19.588	8.76332	4.77891	1.16833	0.42233	radar	2.15069	19.6843	8.35902	19.5967	8.75494	4.88042	1.19484
1477010447400000	19.7793	8.94493	4.79688	1.13555	0.354394	lidar	3.46771	20.0039	8.8906	19.6835	8.983	4.87643	1.21942
1477010447450000	19.8496	9.18727	4.80775	1.17201	0.377568	radar	1.91255	19.6061	9.48659	19.7645	9.21294	4.87251	1.24415
1477010447500000	20.0021	9.40894	4.84458	1.16303	0.341843	lidar	1.60851	20.1574	9.45949	19.8398	9.44463	4.86868	1.26904
1477010447550000	20.0527	9.64745	4.83753	1.2036	0.371381	radar	2.64408	19.6163	9.76606	19.9093	9.67795	4.86493	1.29407
1477010447600000	20.1414	9.88026	4.84819	1.22171	0.370555	lidar	0.0587165	20.1573	9.90876	19.9728	9.91275	4.86127	1.31923
1477010447650000	20.1097	10.2108	4.91385	1.31472	0.462113	radar	32.0425	19.1911	11.5493	20.0303	10.1489	4.85769	1.34454
